○ 통계표ID,DT_1B040M5,,,
○ 통계표명,시군구/성/연령(5세)별 주민등록연앙인구,,,
○ 조회기간,[년] 2011~2021  ,,,
○ 출처,"「인구동향조사」, 통계청",,,
○ 자료다운일자,2022.12.20 14:35,,,
○ 통계표URL,https://kosis.kr/statHtml/statHtml.do?orgId=101&tblId=DT_1B040M5&conn_path=I3,,,
,* KOSIS 개편 시 통계표 URL은 달라질 수 있음,,,
○ 단위,명,,,
○ 주석,,,,
통계표,< 자료에 관한 설명 >,,,
,"
1. 주민등록 연앙인구는 행정안전부에서 공표하는 연말기준 주민등록인구를 기초로 연앙(年央)개념으로 재작성하여 제공되는 자료",,,
,"
(예시: 2014년 주민등록 연앙인구 = 2014.1.1일과 2014.12.31일 주민등록인구의 산술평균)",,,
,"
2. 평균인구의 개념으로 출산, 사망, 이동 등 각종 인구동태율 산출시 분모인구로 활용",,,
,"
※ 행정안전부 주민등록인구통계는 http://www.mois.go.kr/frt/sub/a05/totStat/screen.do에서 이용 가능합니다",,,
,"
",,,
,"
< 수록기간 등 유의사항 >",,,
,"
1. 전국 주민등록연앙인구는 1993년이후, 시도단위는 1996년이후, 시군구단위는 1998년이후 제공 가능",,,
,"
2. 0세~상한연령까지 5세 단위인구로 연도별로 상한연령은 상이함",,,
,"
3. 동자료는 엑셀파일로 온라인간행물(주민등록연앙인구)에서도 제공중 ",,,
,"
    (http://kosis.kr/ups/ups_01List01.jsp?grp_no=&pubcode=AW&type=)",,,
