sigungu,2011.4/4,2012.4/4,2013.4/4,2014.4/4,2015.4/4,2016.4/4,2017.4/4,2018.4/4,2019.4/4,2020.4/4,2021.4/4
경상남도 거창군,0,0,0,0,0,0,0,0,0,0,0
경상남도 고성군,0,0,0,0,0,0,0,0,0,0,0
경상남도 남해군,0,0,0,0,0,0,0,0,0,0,0
경상남도 산청군,0,0,0,0,0,0,0,0,0,0,0
경상남도 의령군,0,0,0,0,0,0,0,0,0,0,0
경상남도 창녕군,0,0,0,0,0,0,0,0,0,0,0
경상남도 하동군,0,0,0,0,0,0,0,0,0,0,0
경상남도 함안군,0,0,0,0,0,0,0,0,0,0,0
경상남도 함양군,0,0,0,0,0,0,0,0,0,0,0
경상남도 합천군,0,0,0,0,0,0,0,0,0,0,0
경상남도 밀양시,1,1,1,1,1,1,0,0,0,0,0
